Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Ken Ken Alun2 Sda Tipe A Sidoarjo,False,True,False,False,True,True,Ada,0,Rp400.000,4.0
-,+,Kost Taman Hedona Buduran Sidoarjo,True,False,False,True,True,True,Ada,0,Rp500.000,5.0
-,+,Kost Abah Nasor Kemiri Sidoarjo Sidoarjo,False,False,False,True,True,False,Ada,0,Rp400.000,3.0
-,-,Kost Arka Sidoarjo,True,True,False,False,True,True,Sisa 1 kamar,0,Rp500.000,4.0
-,-,Kost Pit Stop House Tipe A Buduran Sidoarjo,True,True,False,False,True,True,Sisa 3 kamar,0,Rp500.000,4.0
-,-,Kost Abba Tipe A Sidoarjo,False,False,False,False,True,True,Sisa 2 kamar,0,Rp450.000,2.0
-,-,Kost Charisna 3 Sidoarjo,True,False,False,True,True,True,Sisa 3 kamar,0,Rp550.000,4.0
-,-,Kost Pak Khilmi Sidoarjo,False,False,False,True,True,True,Sisa 1 kamar,0,Rp500.000,3.0
-,+,Kost Wish Buduran Sidoarjo,True,False,False,False,True,False,Ada,0,Rp600.000,3.0
-,+,Kost Fizi Bluru Kidul SIdoarjo,False,False,False,True,True,True,Ada,0,Rp550.000,4.0
-,+,Kost Wisma Shelaras Tipe A Buduran Sidoarjo,True,False,False,False,True,True,Ada,0,Rp600.000,4.0
-,-,Kost Pak Herman Sidoarjo,True,True,False,False,True,False,Ada,0,Rp500.000,3.0
-,-,Kost Eva Buduran Sidoarjo,True,False,False,False,False,False,Sisa 2 kamar,0,Rp510.000,1.0
-,-,Kost Hidayah Buduran Sidoarjo,False,False,False,False,False,True,Sisa 1 kamar,0,Rp500.000,1.0
-,-,Kost LL25 Tipe A Sidoarjo,True,True,False,False,True,False,Ada,0,Rp600.000,3.0
-,-,Kost Kemiri Tipe Reguler Sidoarjo Sidoarjo,True,False,False,False,True,True,Sisa 1 kamar,0,Rp550.000,3.0
-,-,Kost P Husni Standart Buduran Sidoarjo,True,False,False,False,False,False,Sisa 1 kamar,0,Rp450.000,1.0
-,-,Kost Al Fatih Tipe B Sidoarjo Sidoarjo,True,False,False,False,True,True,Sisa 1 kamar,0,Rp550.000,3.0
-,-,Kost 88 Buduran Sidoarjo,True,False,False,False,True,True,Sisa 2 kamar,0,Rp550.000,3.0
-,-,Kost Nirmala Tipe A Buduran Sidoarjo,False,True,False,True,True,False,Sisa 1 kamar,0,Rp600.000,3.0
-,-,Kost Bu Agus Sidoarjo Ekonomis Buduran Sidoarjo,True,False,False,True,False,True,Sisa 3 kamar,0,Rp400.000,3.0
-,-,Kost Panji 30 Buduran Sidoarjo,True,False,False,False,True,True,Sisa 2 kamar,0,Rp500.000,3.0
-,-,Kost Rama Motor Sidoarjo,True,True,False,False,False,True,Sisa 3 kamar,0,Rp500.000,3.0
-,-,Kost Yolanda Sidoarjo,True,False,False,True,True,False,Ada,0,Rp600.000,3.0
-,-,Kost Pak Anas Buduran Sidoarjo,True,False,False,False,True,True,Sisa 1 kamar,0,Rp550.000,3.0
-,-,Kost Rumah Abah Somad Buduran Sidoarjo,True,False,False,False,False,False,Ada,0,Rp500.000,1.0
-,+,Kost Halo PPG Sidoarjo Sidoarjo,False,True,False,True,True,True,Penuh,0,Rp600.000,6.0
-,-,Kost Baitii Jannatii 2 Buduran Sidoarjo,True,True,False,False,True,True,Penuh,0,Rp600.000,5.0
-,-,Kost Aryputra Buduran Sidoarjo,True,True,False,False,True,True,Penuh,0,,5.0
