Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,+,Kost Omah Dk 27 Lantai 2 Dukuhpakis Surabaya,False,True,False,False,True,False,Ada,0,Rp750.000,3.0
-,+,Kost Malikah Tipe A Dukuhpakis Surabaya,False,True,False,False,True,True,Ada,0,Rp700.000,4.0
-,+,Kos Nonik Blessing Tipe B Dukuhpakis Surabaya,False,False,False,False,False,True,Ada,0,Rp650.000,2.0
-,+,Kost Nonik Blessing Tipe A Dukuhpakis Surabaya,True,True,False,False,True,True,Ada,0,Rp750.000,5.0
-,+,Kost Bu Istanti Dukuhpakis Surabaya,False,True,False,True,True,True,Ada,0,Rp650.000,5.0
-,+,Kost Dhiva Dukuhpakis Surabaya,False,True,False,True,True,True,Ada,0,Rp800.000,5.0
-,+,Kost Putri Dukuhpakis Surabaya,True,True,False,True,True,False,Ada,0,Rp800.000,5.0
-,+,Kost DKP Miso Dukuhpakis Surabaya,False,False,False,True,True,False,Ada,0,Rp800.000,3.0
-,-,Kost Emak Sawahan Surabaya,True,False,False,False,True,True,Sisa 1 kamar,0,Rp600.000,3.0
-,-,Kost Bu Karto Sawahan Surabaya,False,False,False,False,True,True,Sisa 3 kamar,0,Rp600.000,2.0
-,-,Kost Bu Yayuk Dukuhpakis Surabaya,False,True,False,False,True,False,Sisa 1 kamar,0,Rp750.000,2.0
-,-,Kost Bu Sari Gayungan Surabaya,False,True,False,True,True,False,Sisa 1 kamar,0,Rp750.000,3.0
-,-,Kost Karyawati Mayjend Sungkono Single Sawahan Surabaya,False,False,False,False,True,False,Sisa 2 kamar,0,Rp750.000,1.0
-,-,Kost Finessetia Tipe A Dukuh Pakis Surabaya,True,True,False,False,True,True,Sisa 3 kamar,0,Rp800.000,4.0
-,-,Kost Ayu Tipe B Dukuh Pakis Surabaya,True,False,False,False,True,True,Sisa 2 kamar,0,Rp750.000,3.0
-,-,Kost Ibu Totok Dukuh Pakis Surabaya,False,False,False,False,True,True,Sisa 1 kamar,0,Rp600.000,2.0
-,-,Kost Marcellyno Tipe A Dukuhpakis Surabaya,True,False,False,False,True,True,Ada,0,Rp650.000,3.0
-,-,Kost Dukuh Kupang Barat 12 Tipe A Dukuh Pakis Surabaya,False,True,True,True,True,False,Ada,0,Rp700.000,4.0
-,-,Kost 51 Tipe A Dukuhpakis Surabaya,False,True,False,False,True,True,Sisa 1 kamar,0,Rp800.000,3.0
-,-,Kost Bpk Puryadi Dukuh Pakis Surabaya,False,False,False,False,True,False,Sisa 2 kamar,0,Rp750.000,1.0
-,+,Kost House QQ Dukuhpakis Surabaya,False,True,False,True,True,False,Ada,0,Rp750.000,4.0
-,+,Kost Kastawi Dukuhpakis Surabaya,False,True,False,False,True,True,Ada,0,Rp700.000,4.0
-,+,Kost Pak Siswanto Dukuhpakis Surabaya,False,True,False,False,True,True,Ada,0,Rp750.000,4.0
-,+,Kost Dhanny Sukomanunggal Surabaya,False,False,False,False,True,True,Ada,0,Rp750.000,3.0
-,+,Kost Pak Djuari Tipe A Sukomanunggal Surabaya,True,False,False,False,True,False,Ada,0,Rp750.000,3.0
-,-,Kost Bu Tatik Dukuh Pakis Surabaya,False,True,False,False,True,True,Sisa 2 kamar,0,Rp750.000,3.0
-,-,Kost Bom 2 Ekonomi Wiyung Surabaya,False,False,False,False,False,True,Sisa 2 kamar,0,Rp800.000,1.0
-,-,Kost Salsabila Sawahan Surabaya,False,True,False,True,False,True,Sisa 2 kamar,0,Rp600.000,3.0
-,-,Kost Khusus Putri Sawahan Surabaya,False,False,False,True,True,True,Sisa 2 kamar,0,Rp600.000,3.0
-,-,Kost Umik Parti Tipe A Sukomanunggal Surabaya,True,False,False,False,True,True,Sisa 2 kamar,0,Rp750.000,3.0
-,-,Kost Griyo Sukomanunggal Surabaya,False,False,False,True,False,True,Ada,0,Rp650.000,2.0
-,-,Kost Puri Asri Tipe A Sawahan Surabaya,False,True,False,False,False,False,Ada,0,Rp700.000,1.0
-,-,Kost Dua Sawahan Surabaya,False,True,False,False,True,False,Ada,0,,2.0
-,+,Kost Ibu Hardjono Tipe A Dukuhpakis Surabaya,False,True,False,True,True,True,Penuh,0,,6.0
-,-,Kost Betah Krasan Dukuh Pakis Surabaya,True,False,False,False,True,True,Penuh,0,,4.0
-,-,Kost 8A Kencanasari Dukuh Pakis Surabaya,True,False,False,False,True,False,Penuh,0,,3.0
-,-,Kost Bu Ninik Tipe B Dukuh Pakis Surabaya,False,True,False,False,True,True,Penuh,0,,4.0
-,-,Kost Gustiara Sawahan Surabaya,True,True,False,True,True,True,Penuh,0,,6.0
-,-,Kost DK Kupang 32/64 Surabaya,True,True,False,False,True,False,Penuh,0,,4.0
-,-,Kost Jarsongo 28C Wiyung Surabaya,True,False,False,False,False,True,Penuh,0,,3.0
