Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
+,-,Kost Singgahsini Graha Ara Dharmahusada Tipe B Gubeng Surabaya,True,True,True,True,True,True,Ada,0,Rp2.624.000,7.0
-,+,Kost Crystal Guest House Tipe A Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.800.000,7.0
-,+,Kost Klapa Exclusive Manyar Surabaya,True,True,True,True,True,False,Ada,0,Rp2.800.000,6.0
-,+,Kost Stayvie Coliving Panozzanine Sky Loft Single Premium Mulyorejo Surabaya,True,True,True,True,False,False,Ada,0,Rp3.000.000,5.0
-,+,Kost Eksklusif Whisper Tipe A Mulyorejo Surabaya,True,True,True,True,True,False,Ada,0,Rp2.800.000,6.0
-,+,Kost Residence VIP 222 Tambaksari Surabaya,True,True,True,True,True,True,Ada,0,Rp3.000.000,7.0
-,+,Kost Pastelle Premium Mulyorejo Surabaya,True,True,True,False,True,False,Ada,0,Rp2.750.000,5.0
-,-,Kost Me Home 301 Tipe B Sukolilo Surabaya,True,True,True,True,True,False,Sisa 3 kamar,0,Rp2.800.000,5.0
-,-,Kost Brialexa Executive Mulyorejo Surabaya,True,True,True,True,True,False,Sisa 1 kamar,0,Rp2.750.000,5.0
-,-,Kost Ldr Home Deluxe Plus Room Mulyorejo Surabaya,True,True,True,False,True,True,Sisa 1 kamar,0,Rp2.900.000,5.0
-,-,Kost Exclusive Venus Homeliving Premium Mulyorejo Surabaya,True,True,True,True,True,False,Ada,0,Rp2.750.000,5.0
-,-,Kost Indahyunitar Mulyorejo Surabaya,False,True,True,True,True,False,Ada,0,Rp3.000.000,4.0
-,-,Kost Galaxy Mall Mulyorejo Surabaya,False,True,True,True,True,False,Ada,0,Rp3.000.000,4.0
-,-,Kost Eksklusif D'Paragon Kalijudan Surabaya,True,True,True,True,True,True,Ada,0,Rp3.000.000,6.0
-,+,Kost Crystal Guest House Tipe B Sukolilo Surabaya,False,False,False,False,False,False,Penuh,0,Rp2.900.000,2.0
-,-,Kost Wisma Permai Tipe A Mulyorejo Surabaya,False,True,True,True,True,False,Penuh,0,Rp3.000.000,5.0
-,-,Kost Homeshare Bhakti 33 Tipe A Gubeng Surabaya,True,True,True,True,True,False,Penuh,0,Rp1.650.000,6.0
-,-,Kost Puncak Dharmahusada Surabaya,True,True,True,False,False,True,Penuh,0,Rp2.850.000,5.0
