Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
+,-,Kost Singgahsini Q Tipe B Sidosermo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.875.000,7.0
-,+,Kost Jeehan Executive 1 Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.750.000,7.0
-,+,Kost La Casa Didiksan Tipe B Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.800.000,7.0
-,+,Kost Rumentara Af6 Rungkut Surabaya,True,True,True,True,True,False,Ada,0,Rp2.000.000,6.0
-,+,Kost Jeehan Executive Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Griya MERR Mezanin Deluxe Rungkut Surabaya,False,True,True,True,True,True,Ada,0,Rp1.750.000,6.0
-,+,Kost Rungkut Madya 19 Rungkut Surabaya,True,True,True,True,True,False,Ada,0,Rp1.800.000,6.0
-,+,Kost Rumah Bunda Fatimah Exclusive Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Raden Bagus Firmansyah Pasca Pratama Tipe A Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.750.000,7.0
-,+,Kost Pelangi Tipe E Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.800.000,7.0
-,+,Kost Jonathan Tenggilis Mejoyo Surabaya,True,True,True,False,True,True,Ada,0,Rp1.600.000,6.0
-,+,Kost Novan G6 Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.950.000,7.0
-,+,Kost Tentram Kutisari Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Pelangi Superior Rungkut Surabaya,False,True,True,True,True,True,Ada,0,Rp1.800.000,6.0
-,+,Kost Semolowaru Timur VIP 7 Sukolilo Surabaya,True,True,True,True,True,True,Ada,0,Rp1.850.000,7.0
-,+,Kost Perum Tenggilis Tengah Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,+,Kost Pelangi Tenggilis AC Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp1.800.000,7.0
-,+,Kost Nathan Homestay Gunung Anyar Surabaya,True,True,True,True,True,True,Ada,0,Rp1.800.000,7.0
-,+,Kost Pelangi Tipe A Rungkut Surabaya,False,True,True,True,True,True,Ada,0,Rp1.750.000,6.0
-,+,Kost Bu Hartini Tipe Executive Rungkut Surabaya,True,True,True,False,True,False,Ada,0,Rp2.000.000,5.0
-,+,Kost Tentoo Stay Rungkut Surabaya,True,True,True,False,False,True,Ada,0,Rp2.000.000,5.0
-,+,Kost Nyoman Tipe Standar Rungkut Surabaya,True,True,True,True,True,True,Ada,0,Rp2.000.000,7.0
-,-,Kost Griya Firdaus Rungkut Surabaya,True,False,True,True,True,True,Sisa 1 kamar,0,Rp1.800.000,5.0
-,-,Kost Kostel Residence Tipe Standart Room Rungkut Surabaya,True,True,True,True,True,False,Sisa 1 kamar,0,Rp1.800.000,5.0
-,-,Kost Sila House Tipe C Tenggilis Mejoyo Surabaya,True,True,True,True,True,True,Sisa 1 kamar,0,Rp2.000.000,6.0
-,-,Kost Griya Nina Syariah Executive AC Lt 3 Gunung Anyar Surabaya,True,True,True,True,True,True,Sisa 3 kamar,0,Rp2.000.000,6.0
-,-,Kost Residence Standart Rungkut Surabaya,False,True,True,True,True,False,Sisa 1 kamar,0,Rp1.800.000,4.0
-,+,Kost Viola Orpin Rungkut Surabaya,True,True,True,True,True,False,Ada,0,Rp1.899.999,6.0
-,-,Kost Smile Residence Tipe A Tenggilis Mejoyo Surabaya,True,True,True,True,True,False,Sisa 1 kamar,0,,5.0
-,-,Kost Arifin 18 Rungkut Surabaya,True,True,False,True,True,True,Penuh,0,,6.0
