Singgahsini,Kos Andalan,Name,K. Mandi Dalam,WiFi,AC,Kloset Duduk,Kasur,Akses 24 Jam,Availability,Rating,Price,Kost Raw Value
-,-,Kost Jemur Ngawinan Ismanto Tipe kamar Wonocolo Surabaya,False,False,False,False,True,True,Sisa 2 kamar,0,Rp400.000,2.0
-,-,Kost Mbak Tri Tipe A Waru Sidoarjo,False,False,False,False,False,True,Ada,0,Rp350.000,1.0
-,-,Kost Mbak Dian Waru Sidoarjo,False,False,False,False,True,True,Sisa 3 kamar,0,Rp400.000,2.0
-,-,Kost Nafisyah Waru Sidoarjo,False,False,False,False,True,True,Ada,0,Rp350.000,2.0
-,-,Kost Pak Rudi Waru Taman Sidoarjo,False,False,False,True,True,True,Ada,0,Rp350.000,3.0
-,-,Kost Bu Asmuji Tipe A Waru Sidoarjo,False,False,False,False,True,False,Ada,0,Rp375.000,1.0
-,-,Kost Bu Tatik Tipe A Taman Sidoarjo,False,False,False,False,False,True,Sisa 1 kamar,0,Rp300.000,1.0
-,-,Kost Bapak Condro Waru Sidoarjo,False,False,False,False,True,False,Penuh,0,Rp400.000,2.0
-,-,Kost Pak Rusdi Siwalankerto Surabaya,False,False,False,False,True,True,Penuh,0,Rp400.000,3.0
-,-,Kost Bu Yanto Tipe A Waru Sidoarjo,False,False,False,False,False,True,Penuh,0,Rp350.000,2.0
-,-,Kost Herda Jaya Wonocolo Surabaya,True,False,False,False,True,False,Penuh,0,Rp400.000,3.0
-,-,Kost Gang Lebar 55 Wonocolo Surabaya,False,False,False,False,False,True,Penuh,0,Rp290.000,2.0
-,-,Kost Mbokee Tipe A Wonocolo Surabaya,False,False,False,False,True,True,Penuh,0,Rp400.000,3.0
-,-,Kost Alisha Tipe A Waru Sidoarjo,False,False,False,True,True,False,Penuh,0,Rp400.000,3.0
-,-,Kost Bintang Tipe A Waru Sidoarjo,False,True,False,False,True,True,Penuh,0,Rp375.000,4.0
-,-,Kost Bu Yanto Tipe B Waru Sidoarjo,False,False,False,False,False,True,Penuh,0,Rp300.000,2.0
-,-,Kost Sahal Sunah Tipe A Waru Sidoarjo,False,False,False,False,True,True,Penuh,0,Rp250.000,3.0
-,-,Kost Graha Kutisari Utara Gg. 7 No. 23 Tenggilis Mejoyo Surabaya,False,False,False,True,False,False,Penuh,0,Rp375.000,2.0
-,-,Kost Buyatimun Tipe A Gayungan Surabaya,False,True,False,True,True,False,Penuh,0,Rp400.000,4.0
-,-,Kost Umik Tipe A Jambangan Surabaya,False,False,False,False,True,False,Penuh,0,Rp400.000,2.0
-,-,Kost UNISA 1 Wonocolo Surabaya,False,True,False,False,True,False,Penuh,0,Rp350.000,3.0
-,-,Kost Murah Rungkut Kutisari Siwalankerto Surabaya,False,False,False,False,True,True,Penuh,0,Rp350.000,3.0
-,-,Kost Pondok Laras Waru Sidoarjo,False,False,False,False,False,False,Penuh,0,Rp400.000,1.0
-,-,Kost Murah Tenggilis Mejoyo Surabaya,False,False,False,False,False,False,Penuh,0,Rp250.000,1.0
-,-,Kost Wisudaryono Waru Sidoarjo,False,False,False,False,False,False,Penuh,0,Rp350.000,1.0
-,-,Kost Pak Kris Waru Sidoarjo,False,False,False,False,False,True,Penuh,0,Rp400.000,2.0
-,-,Kost Bungurasih 17 Waru Sidoarjo,False,False,False,False,True,True,Penuh,0,Rp350.000,3.0
